`item_nr,stimulus_untrimmed,stimulus,flanker_type,lexicality,condition,target
949,ciel bord ciel,ciel bord ciel,unrelated,word,word/unrelated,bord
950, glui ,glui,no,nonword,nonword/no,glui
951,isir gouf isir,isir gouf isir,unrelated,nonword,nonword/unrelated,gouf
952, sute ,sute,no,nonword,nonword/no,sute
953,ucre diol ucre,ucre diol ucre,unrelated,nonword,nonword/unrelated,diol
954,uide uide uide,uide uide uide,related,nonword,nonword/related,uide
955,dodo acte dodo,dodo acte dodo,unrelated,word,word/unrelated,acte
956,ponc flar ponc,ponc flar ponc,unrelated,nonword,nonword/unrelated,flar
957,yope isir yope,yope isir yope,unrelated,nonword,nonword/unrelated,isir
958, pluo ,pluo,no,nonword,nonword/no,pluo
959,main main main,main main main,related,word,word/related,main
960,taux dise taux,taux dise taux,unrelated,word,word/unrelated,dise
961, haut ,haut,no,word,word/no,haut
962,subi noce subi,subi noce subi,unrelated,word,word/unrelated,noce
963,mare loin mare,mare loin mare,unrelated,word,word/unrelated,loin
964, cape ,cape,no,word,word/no,cape
965,fuit naze fuit,fuit naze fuit,unrelated,word,word/unrelated,naze
966,cofi buge cofi,cofi buge cofi,unrelated,nonword,nonword/unrelated,buge
967,thon lier thon,thon lier thon,unrelated,word,word/unrelated,lier
968, varc ,varc,no,nonword,nonword/no,varc
969,ofci aser ofci,ofci aser ofci,unrelated,nonword,nonword/unrelated,aser
970,peut noix peut,peut noix peut,unrelated,word,word/unrelated,noix
971, agir ,agir,no,word,word/no,agir
972,soge soge soge,soge soge soge,related,nonword,nonword/related,soge
973, poxe ,poxe,no,nonword,nonword/no,poxe
974,juse groi juse,juse groi juse,unrelated,nonword,nonword/unrelated,groi
975,kaki kaki kaki,kaki kaki kaki,related,word,word/related,kaki
976,pluo pluo pluo,pluo pluo pluo,related,nonword,nonword/related,pluo
977, apte ,apte,no,word,word/no,apte
978, brir ,brir,no,nonword,nonword/no,brir
979,chic mode chic,chic mode chic,unrelated,word,word/unrelated,mode
980,cofi cofi cofi,cofi cofi cofi,related,nonword,nonword/related,cofi
981, cion ,cion,no,nonword,nonword/no,cion
982,juge juge juge,juge juge juge,related,word,word/related,juge
983, chic ,chic,no,word,word/no,chic
984, noil ,noil,no,nonword,nonword/no,noil
985,zuif doce zuif,zuif doce zuif,unrelated,nonword,nonword/unrelated,doce
986, glac ,glac,no,nonword,nonword/no,glac
987,flux oser flux,flux oser flux,unrelated,word,word/unrelated,oser
988, cent ,cent,no,word,word/no,cent
989, bral ,bral,no,nonword,nonword/no,bral
990, nouf ,nouf,no,nonword,nonword/no,nouf
991,juci juci juci,juci juci juci,related,nonword,nonword/related,juci
992,miel parc miel,miel parc miel,unrelated,word,word/unrelated,parc
993,sang pire sang,sang pire sang,unrelated,word,word/unrelated,pire
994,flux flux flux,flux flux flux,related,word,word/related,flux
995, cage ,cage,no,word,word/no,cage
996,fini fini fini,fini fini fini,related,word,word/related,fini
997, acte ,acte,no,word,word/no,acte
998,best long best,best long best,unrelated,word,word/unrelated,long
999, boit ,boit,no,word,word/no,boit
1000,judo judo judo,judo judo judo,related,word,word/related,judo
1001, bien ,bien,no,word,word/no,bien
1002,rhum oeil rhum,rhum oeil rhum,unrelated,word,word/unrelated,oeil
1003,spot leur spot,spot leur spot,unrelated,word,word/unrelated,leur
1004, bail ,bail,no,word,word/no,bail
1005,haut lien haut,haut lien haut,unrelated,word,word/unrelated,lien
1006,fond fond fond,fond fond fond,related,word,word/related,fond
1007,idem idem idem,idem idem idem,related,word,word/related,idem
1008,apin apin apin,apin apin apin,related,nonword,nonword/related,apin
1009,rour rour rour,rour rour rour,related,nonword,nonword/related,rour
1010, tuce ,tuce,no,nonword,nonword/no,tuce
1011,fuir fuir fuir,fuir fuir fuir,related,word,word/related,fuir
1012,dune dune dune,dune dune dune,related,word,word/related,dune
1013,cigi dets cigi,cigi dets cigi,unrelated,nonword,nonword/unrelated,dets
1014,clir clir clir,clir clir clir,related,nonword,nonword/related,clir
1015,film nage film,film nage film,unrelated,word,word/unrelated,nage
1016,leur main leur,leur main leur,unrelated,word,word/unrelated,main
1017,fabe fabe fabe,fabe fabe fabe,related,nonword,nonword/related,fabe
1018,muis muis muis,muis muis muis,related,nonword,nonword/related,muis
1019,glur glur glur,glur glur glur,related,nonword,nonword/related,glur
1020,faim faim faim,faim faim faim,related,word,word/related,faim
1021,bixe pras bixe,bixe pras bixe,unrelated,nonword,nonword/unrelated,pras
1022,sute sute sute,sute sute sute,related,nonword,nonword/related,sute
1023, coui ,coui,no,nonword,nonword/no,coui
1024,veul afmi veul,veul afmi veul,unrelated,nonword,nonword/unrelated,afmi
1025, tese ,tese,no,nonword,nonword/no,tese
1026, dame ,dame,no,word,word/no,dame
1027,olis olis olis,olis olis olis,related,nonword,nonword/related,olis
1028,boxe plat boxe,boxe plat boxe,unrelated,word,word/unrelated,plat
1029,dite dite dite,dite dite dite,related,word,word/related,dite
1030,itin uage itin,itin uage itin,unrelated,nonword,nonword/unrelated,uage
1031,donc pile donc,donc pile donc,unrelated,word,word/unrelated,pile
1032, aide ,aide,no,word,word/no,aide
1033, cude ,cude,no,nonword,nonword/no,cude
1034, guve ,guve,no,nonword,nonword/no,guve
1035,film film film,film film film,related,word,word/related,film
1036,ches ches ches,ches ches ches,related,nonword,nonword/related,ches
1037,ucre ucre ucre,ucre ucre ucre,related,nonword,nonword/related,ucre
1038,ilie ilie ilie,ilie ilie ilie,related,nonword,nonword/related,ilie
1039, amie ,amie,no,word,word/no,amie
1040,jeux jeux jeux,jeux jeux jeux,related,word,word/related,jeux
1041,libe jurf libe,libe jurf libe,unrelated,nonword,nonword/unrelated,jurf
1042,ivre ivre ivre,ivre ivre ivre,related,word,word/related,ivre
1043,maxi peut maxi,maxi peut maxi,unrelated,word,word/unrelated,peut
1044,arni arni arni,arni arni arni,related,nonword,nonword/related,arni
1045, muie ,muie,no,nonword,nonword/no,muie
1046,doux doux doux,doux doux doux,related,word,word/related,doux
1047,joie joie joie,joie joie joie,related,word,word/related,joie
1048, cinq ,cinq,no,word,word/no,cinq
1049,foin foin foin,foin foin foin,related,word,word/related,foin
1050, bain ,bain,no,word,word/no,bain
1051,cool pipe cool,cool pipe cool,unrelated,word,word/unrelated,pipe
1052,code muni code,code muni code,unrelated,word,word/unrelated,muni
1053, ceux ,ceux,no,word,word/no,ceux
1054,dure dure dure,dure dure dure,related,word,word/related,dure
1055,vige vige vige,vige vige vige,related,nonword,nonword/related,vige
1056,noif veur noif,noif veur noif,unrelated,nonword,nonword/unrelated,veur
1057,saze saze saze,saze saze saze,related,nonword,nonword/related,saze
1058,paze tion paze,paze tion paze,unrelated,nonword,nonword/unrelated,tion
1059,gami gami gami,gami gami gami,related,nonword,nonword/related,gami
1060,dodo dodo dodo,dodo dodo dodo,related,word,word/related,dodo
1061,rers rers rers,rers rers rers,related,nonword,nonword/related,rers
1062,oute oute oute,oute oute oute,related,nonword,nonword/related,oute
1063,laid laid laid,laid laid laid,related,word,word/related,laid
1064, ciel ,ciel,no,word,word/no,ciel
1065,vets vets vets,vets vets vets,related,nonword,nonword/related,vets
1066,labo peur labo,labo peur labo,unrelated,word,word/unrelated,peur
1067,didi didi didi,didi didi didi,related,nonword,nonword/related,didi
1068,luif jave luif,luif jave luif,unrelated,nonword,nonword/unrelated,jave
1069, diol ,diol,no,nonword,nonword/no,diol
1070,amir uque amir,amir uque amir,unrelated,nonword,nonword/unrelated,uque
1071,duel mari duel,duel mari duel,unrelated,word,word/unrelated,mari
1072, aube ,aube,no,word,word/no,aube
1073,scie lynx scie,scie lynx scie,unrelated,word,word/unrelated,lynx
1074, choc ,choc,no,word,word/no,choc
1075,dose dose dose,dose dose dose,related,word,word/related,dose
1076,ivre mont ivre,ivre mont ivre,unrelated,word,word/unrelated,mont
1077, rine ,rine,no,nonword,nonword/no,rine
1078, arme ,arme,no,word,word/no,arme
1079,nour nour nour,nour nour nour,related,nonword,nonword/related,nour
1080,brin loge brin,brin loge brin,unrelated,word,word/unrelated,loge
1081,deno deno deno,deno deno deno,related,nonword,nonword/related,deno
1082,huer huer huer,huer huer huer,related,word,word/related,huer
1083, tyle ,tyle,no,nonword,nonword/no,tyle
1084, ocbo ,ocbo,no,nonword,nonword/no,ocbo
1085,humi vrec humi,humi vrec humi,unrelated,nonword,nonword/unrelated,vrec
1086,mato mato mato,mato mato mato,related,nonword,nonword/related,mato
1087,vide loup vide,vide loup vide,unrelated,word,word/unrelated,loup
1088,jury jury jury,jury jury jury,related,word,word/related,jury
1089, cool ,cool,no,word,word/no,cool
1090,dave dave dave,dave dave dave,related,nonword,nonword/related,dave
1091, nile ,nile,no,nonword,nonword/no,nile
1092,grue maxi grue,grue maxi grue,unrelated,word,word/unrelated,maxi
1093,elle elle elle,elle elle elle,related,word,word/related,elle
1094,cais fler cais,cais fler cais,unrelated,nonword,nonword/unrelated,fler
1095,isar ogne isar,isar ogne isar,unrelated,nonword,nonword/unrelated,ogne
1096, abat ,abat,no,word,word/no,abat
1097, gine ,gine,no,nonword,nonword/no,gine
1098,foot mule foot,foot mule foot,unrelated,word,word/unrelated,mule
1099,uits uits uits,uits uits uits,related,nonword,nonword/related,uits
1100, clan ,clan,no,word,word/no,clan
1101, banc ,banc,no,word,word/no,banc
1102,jion euve jion,jion euve jion,unrelated,nonword,nonword/unrelated,euve
1103,robe nuit robe,robe nuit robe,unrelated,word,word/unrelated,nuit
1104,spel spel spel,spel spel spel,related,nonword,nonword/related,spel
1105, ceci ,ceci,no,word,word/no,ceci
1106, amer ,amer,no,word,word/no,amer
1107,adis adis adis,adis adis adis,related,nonword,nonword/related,adis
1108, crue ,crue,no,word,word/no,crue
1109,ocre plan ocre,ocre plan ocre,unrelated,word,word/unrelated,plan
1110, avas ,avas,no,nonword,nonword/no,avas
1111,vute vute vute,vute vute vute,related,nonword,nonword/related,vute
1112, brut ,brut,no,word,word/no,brut
1113,suce part suce,suce part suce,unrelated,word,word/unrelated,part
1114,nain luxe nain,nain luxe nain,unrelated,word,word/unrelated,luxe
1115,psub oile psub,psub oile psub,unrelated,nonword,nonword/unrelated,oile
1116, boue ,boue,no,word,word/no,boue
1117,golf perd golf,golf perd golf,unrelated,word,word/unrelated,perd
1118, gouf ,gouf,no,nonword,nonword/no,gouf
1119,irai oeuf irai,irai oeuf irai,unrelated,word,word/unrelated,oeuf
1120, bout ,bout,no,word,word/no,bout
1121, anue ,anue,no,nonword,nonword/no,anue
1122,vrec spon vrec,vrec spon vrec,unrelated,nonword,nonword/unrelated,spon
1123, flar ,flar,no,nonword,nonword/no,flar
1124,puni ogre puni,puni ogre puni,unrelated,word,word/unrelated,ogre
1125,rodi tute rodi,rodi tute rodi,unrelated,nonword,nonword/unrelated,tute
1126,gaie gaie gaie,gaie gaie gaie,related,word,word/related,gaie
1127,gant gant gant,gant gant gant,related,word,word/related,gant
1128,avan idue avan,avan idue avan,unrelated,nonword,nonword/unrelated,idue
1129, drac ,drac,no,nonword,nonword/no,drac
1130, coup ,coup,no,word,word/no,coup
1131,drir psue drir,drir psue drir,unrelated,nonword,nonword/unrelated,psue
1132, bouc ,bouc,no,word,word/no,bouc
1133,grue grue grue,grue grue grue,related,word,word/related,grue
1134,fien fien fien,fien fien fien,related,nonword,nonword/related,fien
1135,hall ment hall,hall ment hall,unrelated,word,word/unrelated,ment
1136,gion suel gion,gion suel gion,unrelated,nonword,nonword/unrelated,suel
1137, clip ,clip,no,word,word/no,clip
1138,scur inge scur,scur inge scur,unrelated,nonword,nonword/unrelated,inge
1139,foie foie foie,foie foie foie,related,word,word/related,foie
1140, aime ,aime,no,word,word/no,aime
1141, bref ,bref,no,word,word/no,bref
1142, uste ,uste,no,nonword,nonword/no,uste
1143, duis ,duis,no,nonword,nonword/no,duis
1144,exil exil exil,exil exil exil,related,word,word/related,exil
1145, igne ,igne,no,nonword,nonword/no,igne
1146,vrac onde vrac,vrac onde vrac,unrelated,word,word/unrelated,onde
1147, erle ,erle,no,nonword,nonword/no,erle
1148,rone rone rone,rone rone rone,related,nonword,nonword/related,rone
1149,kilo kilo kilo,kilo kilo kilo,related,word,word/related,kilo
1150,acho mune acho,acho mune acho,unrelated,nonword,nonword/unrelated,mune
1151,glui hore glui,glui hore glui,unrelated,nonword,nonword/unrelated,hore
1152,cupe cupe cupe,cupe cupe cupe,related,nonword,nonword/related,cupe
1153,hoir duve hoir,hoir duve hoir,unrelated,nonword,nonword/unrelated,duve
1154,cire moto cire,cire moto cire,unrelated,word,word/unrelated,moto
1155,clec clec clec,clec clec clec,related,nonword,nonword/related,clec
1156,cing cing cing,cing cing cing,related,nonword,nonword/related,cing
1157, code ,code,no,word,word/no,code
1158,rock paie rock,rock paie rock,unrelated,word,word/unrelated,paie
1159,jour jour jour,jour jour jour,related,word,word/related,jour
1160,afmi stue afmi,afmi stue afmi,unrelated,nonword,nonword/unrelated,stue
1161,stus ince stus,stus ince stus,unrelated,nonword,nonword/unrelated,ince
1162, posi ,posi,no,nonword,nonword/no,posi
1163, moce ,moce,no,nonword,nonword/no,moce
1164, bame ,bame,no,nonword,nonword/no,bame
1165,bruc dige bruc,bruc dige bruc,unrelated,nonword,nonword/unrelated,dige
1166,duel duel duel,duel duel duel,related,word,word/related,duel
1167,flot flot flot,flot flot flot,related,word,word/related,flot
1168, clef ,clef,no,word,word/no,clef
1169,fauf dier fauf,fauf dier fauf,unrelated,nonword,nonword/unrelated,dier
1170,fule gois fule,fule gois fule,unrelated,nonword,nonword/unrelated,gois
1171,deur flin deur,deur flin deur,unrelated,nonword,nonword/unrelated,flin
1172,chen chen chen,chen chen chen,related,nonword,nonword/related,chen
1173,four four four,four four four,related,word,word/related,four
1174,vong ster vong,vong ster vong,unrelated,nonword,nonword/unrelated,ster
1175, cure ,cure,no,word,word/no,cure
1176,baby lent baby,baby lent baby,unrelated,word,word/unrelated,lent
1177,cien cien cien,cien cien cien,related,nonword,nonword/related,cien
1178,glui glui glui,glui glui glui,related,nonword,nonword/related,glui
1179,expo expo expo,expo expo expo,related,word,word/related,expo
1180,oral mise oral,oral mise oral,unrelated,word,word/unrelated,mise
1181,dort dort dort,dort dort dort,related,word,word/related,dort
1182, moif ,moif,no,nonword,nonword/no,moif
1183,lils oque lils,lils oque lils,unrelated,nonword,nonword/unrelated,oque
1184,itir ambe itir,itir ambe itir,unrelated,nonword,nonword/unrelated,ambe
1185,vate lisi vate,vate lisi vate,unrelated,nonword,nonword/unrelated,lisi
1186, baie ,baie,no,word,word/no,baie
1187, bloc ,bloc,no,word,word/no,bloc
1188,poxe ucun poxe,poxe ucun poxe,unrelated,nonword,nonword/unrelated,ucun
1189,labo labo labo,labo labo labo,related,word,word/related,labo
1190,huif nobe huif,huif nobe huif,unrelated,nonword,nonword/unrelated,nobe
1191,lave lave lave,lave lave lave,related,word,word/related,lave
1192,rine chud rine,rine chud rine,unrelated,nonword,nonword/unrelated,chud
1193,bolk aive bolk,bolk aive bolk,unrelated,nonword,nonword/unrelated,aive
1194,toux nerf toux,toux nerf toux,unrelated,word,word/unrelated,nerf
1195,vend mort vend,vend mort vend,unrelated,word,word/unrelated,mort
1196, deux ,deux,no,word,word/no,deux
1197,jure jure jure,jure jure jure,related,word,word/related,jure
1198,jami poge jami,jami poge jami,unrelated,nonword,nonword/unrelated,poge
1199,dici bome dici,dici bome dici,unrelated,nonword,nonword/unrelated,bome
1200, cour ,cour,no,word,word/no,cour
1201,golf golf golf,golf golf golf,related,word,word/related,golf
1202, gose ,gose,no,nonword,nonword/no,gose
1203,diel diel diel,diel diel diel,related,nonword,nonword/related,diel
1204,doit doit doit,doit doit doit,related,word,word/related,doit
1205, uise ,uise,no,nonword,nonword/no,uise
1206,joue joue joue,joue joue joue,related,word,word/related,joue
1207,abri onze abri,abri onze abri,unrelated,word,word/unrelated,onze
1208, fave ,fave,no,nonword,nonword/no,fave
1209,fine fine fine,fine fine fine,related,word,word/related,fine
1210,folk nier folk,folk nier folk,unrelated,word,word/unrelated,nier
1211, hime ,hime,no,nonword,nonword/no,hime
1212,aser glin aser,aser glin aser,unrelated,nonword,nonword/unrelated,glin
1213, imer ,imer,no,nonword,nonword/no,imer
1214, bond ,bond,no,word,word/no,bond
1215,acle acle acle,acle acle acle,related,nonword,nonword/related,acle
1216,coge rans coge,coge rans coge,unrelated,nonword,nonword/unrelated,rans
1217,gerf gerf gerf,gerf gerf gerf,related,nonword,nonword/related,gerf
1218, agit ,agit,no,word,word/no,agit
1219,truc plie truc,truc plie truc,unrelated,word,word/unrelated,plie
1220,arne arne arne,arne arne arne,related,nonword,nonword/related,arne
1221,gage gage gage,gage gage gage,related,word,word/related,gage
1222,muse nain muse,muse nain muse,unrelated,word,word/unrelated,nain
1223,douc nire douc,douc nire douc,unrelated,nonword,nonword/unrelated,nire
1224,jore psub jore,jore psub jore,unrelated,nonword,nonword/unrelated,psub
1225,gain moue gain,gain moue gain,unrelated,word,word/unrelated,moue
1226,rang muet rang,rang muet rang,unrelated,word,word/unrelated,muet
1227, zors ,zors,no,nonword,nonword/no,zors
1228, afer ,afer,no,nonword,nonword/no,afer
1229,troc miel troc,troc miel troc,unrelated,word,word/unrelated,miel
1230, coin ,coin,no,word,word/no,coin
1231, huif ,huif,no,nonword,nonword/no,huif
1232,unir page unir,unir page unir,unrelated,word,word/unrelated,page
1233,nole nole nole,nole nole nole,related,nonword,nonword/related,nole
1234,juin juin juin,juin juin juin,related,word,word/related,juin
1235,pupe ibac pupe,pupe ibac pupe,unrelated,nonword,nonword/unrelated,ibac
1236,humi humi humi,humi humi humi,related,nonword,nonword/related,humi
1237,psir hade psir,psir hade psir,unrelated,nonword,nonword/unrelated,hade
1238, chat ,chat,no,word,word/no,chat
1239, jine ,jine,no,nonword,nonword/no,jine
1240, jive ,jive,no,nonword,nonword/no,jive
1241, demi ,demi,no,word,word/no,demi
1242, dire ,dire,no,word,word/no,dire
1243,tyle ponc tyle,tyle ponc tyle,unrelated,nonword,nonword/unrelated,ponc
1244, bres ,bres,no,nonword,nonword/no,bres
1245,jurf eige jurf,jurf eige jurf,unrelated,nonword,nonword/unrelated,eige
1246,hall hall hall,hall hall hall,related,word,word/related,hall
1247, club ,club,no,word,word/no,club
1248,apte midi apte,apte midi apte,unrelated,word,word/unrelated,midi
1249,fade fade fade,fade fade fade,related,word,word/related,fade
1250,flic mare flic,flic mare flic,unrelated,word,word/unrelated,mare
1251,hien hien hien,hien hien hien,related,nonword,nonword/related,hien
1252,buin buin buin,buin buin buin,related,nonword,nonword/related,buin
1253,ibac oste ibac,ibac oste ibac,unrelated,nonword,nonword/unrelated,oste
1254,stre stre stre,stre stre stre,related,nonword,nonword/related,stre
1255, vure ,vure,no,nonword,nonword/no,vure
1256, sabe ,sabe,no,nonword,nonword/no,sabe
1257,zote rinc zote,zote rinc zote,unrelated,nonword,nonword/unrelated,rinc
1258,main luge main,main luge main,unrelated,word,word/unrelated,luge
1259, cire ,cire,no,word,word/no,cire
1260,dets vour dets,dets vour dets,unrelated,nonword,nonword/unrelated,vour
1261, chef ,chef,no,word,word/no,chef
1262,faut faut faut,faut faut faut,related,word,word/related,faut
1263,afil roge afil,afil roge afil,unrelated,nonword,nonword/unrelated,roge
1264, abri ,abri,no,word,word/no,abri
1265, dent ,dent,no,word,word/no,dent
1266, cins ,cins,no,nonword,nonword/no,cins
1267, boxe ,boxe,no,word,word/no,boxe
1268,mato uide mato,mato uide mato,unrelated,nonword,nonword/unrelated,uide
1269,jury mien jury,jury mien jury,unrelated,word,word/unrelated,mien
1270, loui ,loui,no,nonword,nonword/no,loui
1271,gare gare gare,gare gare gare,related,word,word/related,gare
1272, dise ,dise,no,word,word/no,dise
1273, gric ,gric,no,nonword,nonword/no,gric
1274,fixe fixe fixe,fixe fixe fixe,related,word,word/related,fixe
1275, cuit ,cuit,no,word,word/no,cuit
1276,yope yope yope,yope yope yope,related,nonword,nonword/related,yope
1277,cins grer cins,cins grer cins,unrelated,nonword,nonword/unrelated,grer
1278, oche ,oche,no,nonword,nonword/no,oche
1279,folk folk folk,folk folk folk,related,word,word/related,folk
1280,soif pare soif,soif pare soif,unrelated,word,word/unrelated,pare
1281, gion ,gion,no,nonword,nonword/no,gion
1282,dont dont dont,dont dont dont,related,word,word/related,dont
1283, bord ,bord,no,word,word/no,bord
1284, bobo ,bobo,no,word,word/no,bobo
1285,feux feux feux,feux feux feux,related,word,word/related,feux
1286,fuit fuit fuit,fuit fuit fuit,related,word,word/related,fuit
1287, vore ,vore,no,nonword,nonword/no,vore
1288,joli joli joli,joli joli joli,related,word,word/related,joli
1289,eaux eaux eaux,eaux eaux eaux,related,word,word/related,eaux
1290, cuve ,cuve,no,word,word/no,cuve
1291,irme irme irme,irme irme irme,related,nonword,nonword/related,irme
1292,vece vece vece,vece vece vece,related,nonword,nonword/related,vece
1293,rane rane rane,rane rane rane,related,nonword,nonword/related,rane
1294,hier hier hier,hier hier hier,related,word,word/related,hier
1295,flic flic flic,flic flic flic,related,word,word/related,flic
1296,sper sper sper,sper sper sper,related,nonword,nonword/related,sper
1297,jurc bexe jurc,jurc bexe jurc,unrelated,nonword,nonword/unrelated,bexe
1298,arie pluc arie,arie pluc arie,unrelated,nonword,nonword/unrelated,pluc
1299,sert paix sert,sert paix sert,unrelated,word,word/unrelated,paix
1300,avec pion avec,avec pion avec,unrelated,word,word/unrelated,pion
1301, chut ,chut,no,word,word/no,chut
1302,pluc rese pluc,pluc rese pluc,unrelated,nonword,nonword/unrelated,rese
1303, ange ,ange,no,word,word/no,ange
1304,mexe mexe mexe,mexe mexe mexe,related,nonword,nonword/related,mexe
1305, azur ,azur,no,word,word/no,azur
1306,haut haut haut,haut haut haut,related,word,word/related,haut
1307,dont lire dont,dont lire dont,unrelated,word,word/unrelated,lire
1308,fade lion fade,fade lion fade,unrelated,word,word/unrelated,lion
1309,mime nord mime,mime nord mime,unrelated,word,word/unrelated,nord
1310,guve isar guve,guve isar guve,unrelated,nonword,nonword/unrelated,isar
1311,boui boui boui,boui boui boui,related,nonword,nonword/related,boui
1312,gain gain gain,gain gain gain,related,word,word/related,gain
1313,jote jote jote,jote jote jote,related,nonword,nonword/related,jote
1314,tube noir tube,tube noir tube,unrelated,word,word/unrelated,noir
1315, cher ,cher,no,word,word/no,cher
1316,drap noie drap,drap noie drap,unrelated,word,word/unrelated,noie
1317,iers iers iers,iers iers iers,related,nonword,nonword/related,iers
1318, spen ,spen,no,nonword,nonword/no,spen
1319, jage ,jage,no,nonword,nonword/no,jage
1320,plar plar plar,plar plar plar,related,nonword,nonword/related,plar
1321, bise ,bise,no,word,word/no,bise
1322,haie haie haie,haie haie haie,related,word,word/related,haie
1323, cote ,cote,no,word,word/no,cote
1324,lait lait lait,lait lait lait,related,word,word/related,lait
1325, crie ,crie,no,word,word/no,crie
1326, cerf ,cerf,no,word,word/no,cerf
1327,perc perc perc,perc perc perc,related,nonword,nonword/related,perc
1328,ifus ifus ifus,ifus ifus ifus,related,nonword,nonword/related,ifus
1329,bril dade bril,bril dade bril,unrelated,nonword,nonword/unrelated,dade
1330,arni pupe arni,arni pupe arni,unrelated,nonword,nonword/unrelated,pupe
1331, sube ,sube,no,nonword,nonword/no,sube
1332, cuce ,cuce,no,nonword,nonword/no,cuce
1333, avec ,avec,no,word,word/no,avec
1334, carc ,carc,no,nonword,nonword/no,carc
1335,face face face,face face face,related,word,word/related,face
1336, camp ,camp,no,word,word/no,camp
1337,coge coge coge,coge coge coge,related,nonword,nonword/related,coge
1338,bube bube bube,bube bube bube,related,nonword,nonword/related,bube
1339, brin ,brin,no,word,word/no,brin
1340,nouf arve nouf,nouf arve nouf,unrelated,nonword,nonword/unrelated,arve
1341, vave ,vave,no,nonword,nonword/no,vave
1342,fait fait fait,fait fait fait,related,word,word/related,fait
1343, auto ,auto,no,word,word/no,auto
1344,jupe jupe jupe,jupe jupe jupe,related,word,word/related,jupe
1345,mari neuf mari,mari neuf mari,unrelated,word,word/unrelated,neuf
1346, date ,date,no,word,word/no,date
1347,foot foot foot,foot foot foot,related,word,word/related,foot
1348, durc ,durc,no,nonword,nonword/no,durc
1349,oeuf pain oeuf,oeuf pain oeuf,unrelated,word,word/unrelated,pain
1350,arer arer arer,arer arer arer,related,nonword,nonword/related,arer
1351, cave ,cave,no,word,word/no,cave
1352,imci imci imci,imci imci imci,related,nonword,nonword/related,imci
1353,roux paye roux,roux paye roux,unrelated,word,word/unrelated,paye
1354,roge insi roge,roge insi roge,unrelated,nonword,nonword/unrelated,insi
1355,ilas ilas ilas,ilas ilas ilas,related,nonword,nonword/related,ilas
1356,flan flan flan,flan flan flan,related,word,word/related,flan
1357,vonc vonc vonc,vonc vonc vonc,related,nonword,nonword/related,vonc
1358, cube ,cube,no,word,word/no,cube
1359,vonc reur vonc,vonc reur vonc,unrelated,nonword,nonword/unrelated,reur
1360,grec grec grec,grec grec grec,related,word,word/related,grec
1361,info info info,info info info,related,word,word/related,info
1362,jors dide jors,jors dide jors,unrelated,nonword,nonword/unrelated,dide
1363, ande ,ande,no,nonword,nonword/no,ande
1364, nomb ,nomb,no,nonword,nonword/no,nomb
1365, veul ,veul,no,nonword,nonword/no,veul
1366,irir lage irir,irir lage irir,unrelated,nonword,nonword/unrelated,lage
1367,gang gang gang,gang gang gang,related,word,word/related,gang
1368, isir ,isir,no,nonword,nonword/no,isir
1369, bile ,bile,no,word,word/no,bile
1370, onue ,onue,no,nonword,nonword/no,onue
1371,geuf geuf geuf,geuf geuf geuf,related,nonword,nonword/related,geuf
1372,vors ique vors,vors ique vors,unrelated,nonword,nonword/unrelated,ique
1373, psin ,psin,no,nonword,nonword/no,psin
1374,mion cuse mion,mion cuse mion,unrelated,nonword,nonword/unrelated,cuse
1375,irai irai irai,irai irai irai,related,word,word/related,irai
1376, case ,case,no,word,word/no,case
1377,sige sige sige,sige sige sige,related,nonword,nonword/related,sige
1378,imci sobe imci,imci sobe imci,unrelated,nonword,nonword/unrelated,sobe
1379,midi ocre midi,midi ocre midi,unrelated,word,word/unrelated,ocre
1380, cuir ,cuir,no,word,word/no,cuir
1381,clai ouve clai,clai ouve clai,unrelated,nonword,nonword/unrelated,ouve
1382,font font font,font font font,related,word,word/related,font
1383,bolk bolk bolk,bolk bolk bolk,related,nonword,nonword/related,bolk
1384, lube ,lube,no,nonword,nonword/no,lube
1385,chir chir chir,chir chir chir,related,nonword,nonword/related,chir
1386, puif ,puif,no,nonword,nonword/no,puif
1387,lard lard lard,lard lard lard,related,word,word/related,lard
1388,fort fort fort,fort fort fort,related,word,word/related,fort
1389,uite uite uite,uite uite uite,related,nonword,nonword/related,uite
1390,feux loto feux,feux loto feux,unrelated,word,word/unrelated,loto
1391, daps ,daps,no,nonword,nonword/no,daps
1392,lard muse lard,lard muse lard,unrelated,word,word/unrelated,muse
1393,muve rici muve,muve rici muve,unrelated,nonword,nonword/unrelated,rici
1394, stin ,stin,no,nonword,nonword/no,stin
1395,dite oral dite,dite oral dite,unrelated,word,word/unrelated,oral
1396,avir poce avir,avir poce avir,unrelated,nonword,nonword/unrelated,poce
1397, abir ,abir,no,nonword,nonword/no,abir
1398,cuir note cuir,cuir note cuir,unrelated,word,word/unrelated,note
1399,atil cres atil,atil cres atil,unrelated,nonword,nonword/unrelated,cres
1400, olde ,olde,no,nonword,nonword/no,olde
1401, soti ,soti,no,nonword,nonword/no,soti
1402, brun ,brun,no,word,word/no,brun
1403,joli pape joli,joli pape joli,unrelated,word,word/unrelated,pape
1404,avas orie avas,avas orie avas,unrelated,nonword,nonword/unrelated,orie
1405,agit lune agit,agit lune agit,unrelated,word,word/unrelated,lune
1406,part mine part,part mine part,unrelated,word,word/unrelated,mine
1407, itie ,itie,no,nonword,nonword/no,itie
